year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2015,TN,Tennessee,6595056,40816,418,2032,2801,7499,30098,196047,43753,139259,13035
2015,TX,Texas,27429639,113193,1317,8941,12323,31924,67629,779234,153067,558653,67514
2015,UT,Utah,2990632,7138,57,1247,1704,1329,4048,89797,12606,68464,8727
2015,VA,Virginia,8367587,16705,390,1767,2499,4459,9357,157803,21542,128064,8197
2015,VT,Vermont,626088,747,10,104,150,105,482,9064,2034,6834,196
2015,WA,Washington,7160290,20505,218,2006,2778,5450,12059,249474,51114,171393,26967
2015,WI,Wisconsin,5767891,17549,240,1324,1805,5234,10270,114171,19602,83572,10997
2015,WV,West Virginia,1841053,6397,85,493,710,783,4819,38694,9467,26984,2243
2015,WY,Wyoming,586555,1300,16,124,171,59,1054,11151,1762,8797,592
2016,,,323405935,1285606,17413,96970,132414,332797,802982,7928530,1516405,5644835,767290
2016,AK,Alaska,741522,5966,52,754,1053,850,4011,24876,4053,17766,3057
2016,AL,Alabama,4860545,25878,407,1380,1915,4687,18869,143259,34045,97498,11716
2016,AR,Arkansas,2988231,16563,217,1600,2214,2125,12007,98092,23814,67091,7187
2016,AZ,Arizona,6908642,32542,389,2461,3304,7045,21804,207317,38216,150618,18483
2016,CA,California,39296476,174796,1930,10132,13702,54789,104375,1002070,188304,637010,176756
2016,CO,Colorado,5530105,19030,189,2680,3635,3525,11681,152146,23825,108680,19641
2016,CT,Connecticut,3587685,8169,79,580,791,2711,4588,64875,10107,47642,7126
2016,DC,District of Columbia,684336,8236,136,400,533,3500,4067,32377,2361,27089,2927
2016,DE,Delaware,952698,4859,58,224,311,1359,3131,26370,5028,19812,1530
2016,FL,Florida,20656589,88700,1111,5527,7598,20175,59816,553812,100325,410352,43135
2016,GA,Georgia,10313620,40268,682,2436,3381,12114,24091,307305,62715,218127,26463
2016,HI,Hawaii,1428683,3452,35,432,601,985,1831,42353,5983,30871,5499
2016,IA,Iowa,3130869,9170,73,941,1278,1150,6669,65888,15306,45580,5002
2016,ID,Idaho,1680026,3876,49,529,719,213,2895,29357,6318,20962,2077
2016,IL,Illinois,12835726,56054,1061,3713,5003,17829,32161,263256,48193,195196,19867
2016,IN,Indiana,6634007,26516,431,1813,2449,7291,16345,168460,33567,120454,14439
2016,KS,Kansas,2907731,11665,132,1193,1618,1757,8158,82293,14759,60119,7415
2016,KY,Kentucky,4436113,10452,265,1242,1748,3371,5068,97713,20932,66833,9948
2016,LA,Louisiana,4686157,26477,555,1329,1819,5575,18528,154511,34689,109492,10330
2016,MA,Massachusetts,6823721,25975,135,1601,2141,5365,18334,106430,19204,79155,8071
2016,MD,Maryland,6024752,29019,536,1317,1827,10815,15841,139716,24832,100995,13889
2016,ME,Maine,1330232,1649,20,301,413,268,948,21908,4001,17131,776
2016,MI,Michigan,9933445,45782,612,5217,7268,7123,30779,190249,39738,130249,20262
2016,MN,Minnesota,5525050,13365,101,1732,2349,3730,7185,117723,18582,90421,8720
2016,MO,Missouri,6091176,31720,538,1884,2557,6576,22049,170661,31716,120649,18296
2016,MS,Mississippi,2985415,8411,237,910,1282,2433,4459,82521,23489,54725,4307
2016,MT,Montana,1038656,3886,37,427,598,268,2983,28156,3966,21427,2763
2016,NC,North Carolina,10156689,37767,678,2086,2847,9336,24906,277765,72082,190377,15306
2016,ND,North Dakota,755548,1905,16,268,356,181,1352,17451,3248,12249,1954
2016,NE,Nebraska,1907603,5661,49,813,1108,946,3558,43197,6459,32009,4729
2016,NH,New Hampshire,1335015,2668,19,443,609,431,1609,20323,2989,16454,880
2016,NJ,New Jersey,8978416,21861,378,1088,1454,8940,11089,138012,25229,101459,11324
2016,NM,New Mexico,2085432,14585,139,1117,1527,2737,10182,81930,17280,52907,11743
2016,NV,Nevada,2939254,19924,228,1284,1729,6338,11629,75922,18816,43949,13157
2016,NY,New York,19836286,74315,629,4584,6281,22310,45095,305224,39850,250990,14384
2016,OH,Ohio,11622554,35759,683,4255,5754,12574,16748,300945,67081,214102,19762
2016,OK,Oklahoma,3921207,17855,247,1543,2100,3174,12334,118010,29376,76358,12276
2016,OR,Oregon,4085989,10983,116,1306,1784,2307,6776,121716,16919,91507,13290
2016,PA,Pennsylvania,12787085,40389,674,3250,4459,12314,22942,222394,35178,174147,13069
2016,RI,Rhode Island,1057566,2529,29,330,445,541,1514,18910,3650,14157,1103
2016,SC,South Carolina,4959822,25137,358,1786,2491,4071,18217,161534,33149,114455,13930
2016,SD,South Dakota,861542,3636,28,386,526,274,2808,17207,3002,12705,1500
2016,TN,Tennessee,6649404,42459,495,2056,2803,7829,31332,191199,40607,135353,15239
2016,TX,Texas,27904862,121064,1478,9905,13446,33298,72842,769892,148796,552106,68990
2016,UT,Utah,3044321,7406,74,1146,1560,1528,4244,90561,12938,68261,9362
2016,VA,Virginia,8414380,18495,482,2032,2830,4826,10357,157292,20159,127285,9848
2016,VT,Vermont,623354,851,14,120,170,78,589,9705,1884,7637,184
2016,WA,Washington,7280934,22101,195,2302,3133,5649,13124,254994,49249,173423,32322
2016,WI,Wisconsin,5772917,17716,232,1475,2005,4707,10772,111911,19498,82455,9958
2016,WV,West Virginia,1828637,6633,85,488,684,720,5144,37282,9127,25657,2498
2016,WY,Wyoming,584910,1431,20,152,206,59,1146,11460,1771,8889,800
2017,AK,Alaska,739786,6338,62,,1074,952,4250,26203,4167,17782,4254
2017,AL,Alabama,4875120,25469,419,,2001,4233,18816,143774,31270,99707,12797
2017,AR,Arkansas,3002997,16996,249,,2140,1998,12609,94419,22369,64795,7255
